1  Getreide
2  Mais
3  Reis
4  Zuckerrohr
5  Zuckerruebe
6  Pfeffer
7  Flachs
8  Baumwolle
9  Aepfel
10 Citrusfruechte
11 Trauben
12 Wasser
13 Salz
14 Fisch
15 Bruchholz
16 Birkenholz
17 Steineichenholz
18 Holzkohle
19 Sandstein
20 Granit
21 Basalt
22 Lehm
23 Zement
24 Lehmziegel
25 Beton
26 Kalk
27 Moertel
28 Schwefel
29 Sand
30 Quarzsand
31 Glas
32 Leichtleder
34 Schwerleder
35 Knochen
36 leichtes Fell
37 Tiersehne
38 dichtes Fell
39 Feder
40 Wurst
41 Mehl
42 Brot
43 Torte
44 Goldmuenze
45 Eisen
46 Stahl
47 Flachskleidung
48 Baumwollwams
49 Seidengewand
50 Steinkohle
51 Bronze
52 Eisenerz
53 Golderz
54 Rohdiamant
55 Huhn
56 Gans
57 Ochse
58 Kuh
59 Wildrind
60 Hausschwein
61 Schaf
62 Ziege
63 Hase
64 Reh
65 Karen
66 Milch
67 Ei
68 Schafswolle
69 Treibstoff
70 Wein
71 Bier
72 Alkohol
73 Proviantpaket
74 Zucker
75 Kaese
76 Boot aus Birke
77 Boot aus Steineiche
78 Fleisch
79 Diamant
80 Grundnahrung
Glasfenster
Flasche
Eimer
Beutel
Fass
Kissen
Gemuese
Honig
Silber
Papyrus
Papyrusstaude
Esel
Oliven
Olivenoel









